id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
267794639,2025-03-30 10:50:05,2025-03-30,2025-03-30 17:50:05 UTC,Pacific Time (US & Canada),285603,rmcminds,Ryan McMinds,2025-03-30 21:52:52 UTC,2025-03-30 21:52:53 UTC,needs_id,CC-BY,https://www.inaturalist.org/observations/267794639,https://inaturalist-open-data.s3.amazonaws.com/photos/481289985/medium.jpg,,,,0,0,False,843.0,"20th Ave SE, Albany, OR, US",44.623305,-123.0666278333,24.0,,,,24.0,,,False,,,,Phaonia subventa,,Insecta,243559
267599427,2025-03-29 15:22:53,2025-03-29,2025-03-29 22:22:53 UTC,Pacific Time (US & Canada),285603,rmcminds,Ryan McMinds,2025-03-29 22:28:39 UTC,2025-03-29 22:55:46 UTC,needs_id,CC-BY,https://www.inaturalist.org/observations/267599427,https://inaturalist-open-data.s3.amazonaws.com/photos/480915691/medium.jpg,,,,0,0,False,843.0,"20th Ave SE, Albany, OR, US",44.62342,-123.0668721667,18.0,,,,18.0,,,False,,,Mining Bees,Andrena,Mining Bees,Insecta,57669
267597539,2025-03-29 15:12:43,2025-03-29,2025-03-29 22:12:43 UTC,Pacific Time (US & Canada),285603,rmcminds,Ryan McMinds,2025-03-29 22:17:11 UTC,2025-03-29 22:17:13 UTC,needs_id,CC-BY,https://www.inaturalist.org/observations/267597539,https://inaturalist-open-data.s3.amazonaws.com/photos/480912053/medium.jpg,,,,0,0,False,843.0,"20th Ave SE, Albany, OR, US",44.62345,-123.0668555,16.0,,,,16.0,,open,False,,,,Psaltriparus minimus,Bushtit,Aves,7266
267595961,2025-03-29 15:04:50,2025-03-29,2025-03-29 22:04:50 UTC,Pacific Time (US & Canada),285603,rmcminds,Ryan McMinds,2025-03-29 22:07:03 UTC,2025-03-29 22:07:04 UTC,needs_id,CC-BY,https://www.inaturalist.org/observations/267595961,https://inaturalist-open-data.s3.amazonaws.com/photos/480908968/medium.jpg,,,,0,0,False,843.0,"20th Ave SE, Albany, OR, US",44.6234333333,-123.0668805,15.0,,,,15.0,,,False,,,,Osmia lignaria,Blue Orchard Bee,Insecta,121507
267281889,2025-03-27 17:21:39,2025-03-27,2025-03-28 00:21:39 UTC,Pacific Time (US & Canada),285603,rmcminds,Ryan McMinds,2025-03-28 01:01:00 UTC,2025-03-28 05:05:59 UTC,research,CC-BY,https://www.inaturalist.org/observations/267281889,https://inaturalist-open-data.s3.amazonaws.com/photos/480311003/medium.jpg,,,,0,0,False,843.0,"Martin Way E, Olympia, WA, US",47.05235,-122.7930366667,12.0,,,,12.0,,,False,,,Hairy tare,Vicia hirsuta,Hairy tare,Plantae,56188
267253041,2025-03-27 09:10:27,2025-03-27,2025-03-27 16:10:27 UTC,Pacific Time (US & Canada),285603,rmcminds,Ryan McMinds,2025-03-27 21:06:48 UTC,2025-03-27 21:36:42 UTC,research,CC-BY,https://www.inaturalist.org/observations/267253041,https://inaturalist-open-data.s3.amazonaws.com/photos/480254098/medium.jpg,,,,0,0,False,843.0,"Thurston County, US-WA, US",47.0628778333,-122.7439416667,3.0,,,,3.0,,open,False,,,Leopard Slug,Limax maximus,Leopard Slug,Mollusca,62470
266463712,2025-03-22 15:42:52,2025-03-22,2025-03-22 22:42:52 UTC,Pacific Time (US & Canada),285603,rmcminds,Ryan McMinds,2025-03-22 23:17:06 UTC,2025-03-25 18:10:52 UTC,needs_id,CC-BY,https://www.inaturalist.org/observations/266463712,https://inaturalist-open-data.s3.amazonaws.com/photos/478764941/medium.jpg,,,,2,0,False,843.0,"Mett St NE, Olympia, WA, US",47.0660861667,-122.737655,13.0,,,,13.0,,,False,,,integra-group Field and Mound Ants,Formica obscuripes,Western Thatching Ant,Insecta,69267
266442082,2025-03-21 19:19:20,2025-03-21,2025-03-22 02:19:20 UTC,Pacific Time (US & Canada),285603,rmcminds,Ryan McMinds,2025-03-22 21:05:04 UTC,2025-03-22 21:05:06 UTC,needs_id,CC-BY,https://www.inaturalist.org/observations/266442082,https://inaturalist-open-data.s3.amazonaws.com/photos/478724420/medium.jpg,,,,0,0,False,843.0,"31st Ave NE, Lacey, WA, US",47.075275,-122.7659133333,4.0,,,,4.0,,,False,,,,Lichenomphalia ericetorum,Lichen Agaric,Fungi,1497645
266441982,2025-03-21 19:19:07,2025-03-21,2025-03-22 02:19:07 UTC,Pacific Time (US & Canada),285603,rmcminds,Ryan McMinds,2025-03-22 21:04:40 UTC,2025-03-22 21:04:42 UTC,needs_id,CC-BY,https://www.inaturalist.org/observations/266441982,https://inaturalist-open-data.s3.amazonaws.com/photos/478724216/medium.jpg,,,,0,0,False,843.0,"31st Ave NE, Lacey, WA, US",47.0752138333,-122.765945,6.0,,,,6.0,,,False,,,,Psathyrella piluliformis,Common Stump Brittlestem,Fungi,118273
266185294,2025-03-20 17:06:44,2025-03-20,2025-03-21 00:06:44 UTC,Pacific Time (US & Canada),285603,rmcminds,Ryan McMinds,2025-03-21 03:03:06 UTC,2025-03-21 03:03:07 UTC,needs_id,CC-BY,https://www.inaturalist.org/observations/266185294,https://inaturalist-open-data.s3.amazonaws.com/photos/478236139/medium.jpg,,,,0,0,False,843.0,"Outer Loop, Olympia, WA, US",47.1198361667,-122.7776116667,4.0,,,,4.0,,,False,,,,Taraxacum erythrospermum,red-seeded dandelion,Plantae,79317
